"","Covariate","Global","Ocean","Jurisdiction","Sub-jurisdiction"
"1","human_pop50_log_z","890","890","890","890"
"2","kd490_cv_z","890","890","890","890"
"3","kd490_mean_z","890","890","890","890"
"4","land_area50_log_z","890","890","890","890"
"5","nAll_30yr_z","890","890","890","890"
"6","npp_cv_z","890","890","890","890"
"7","npp_mean_z","890","890","890","890"
"8","sst_cv_z","890","890","890","890"
"9","sst_mean_z","890","890","890","890"
"10","wave_cv_z","890","890","890","890"
"11","wave_mean_z","890","890","890","890"
