"","Region","Subregion","mean_value","variable2"
"1","American Samoa","Manua Islands",0.902004344482065,"Manua Islands"
"2","American Samoa","Tutuila",0.837383120954777,"Tutuila"
"3","American Samoa","Rose",0.588774581765115,"Rose"
"4","Main
Hawaiian Islands","Lanai",0.69005804257662,"Lanai"
"5","Main
Hawaiian Islands","Hawaii",0.564330244459773,"Hawaii"
"6","Main
Hawaiian Islands","Oahu",0.484468866733771,"Oahu"
"7","Main
Hawaiian Islands","Kahoolawe",0.47752348501161,"Kahoolawe"
"8","Main
Hawaiian Islands","Molokai",0.332192600260503,"Molokai"
"9","Main
Hawaiian Islands","Maui",0.320807590299499,"Maui"
"10","Main
Hawaiian Islands","Kauai",0.177497069037925,"Kauai"
"11","Main
Hawaiian Islands","Niihau",0.17282672657437,"Niihau"
"12","Northwest
Hawaiian Islands","French Frigate",0.48566200208075,"French Frigate"
"13","Northwest
Hawaiian Islands","Lisianski",0.44874329111004,"Lisianski"
"14","Northwest
Hawaiian Islands","Pearl & Hermes",0.160878367924664,"Pearl & Hermes"
"15","Northwest
Hawaiian Islands","Kure",0.11532217204595,"Kure"
"16","Mariana Islands","Marianas-upper",0.671279400626329,"Marianas-upper"
"17","Mariana Islands","Marianas-lower",0.57068158364377,"Marianas-lower"
"18","Mariana Islands","Marianas-middle",0.54387357680296,"Marianas-middle"
"19","Mariana Islands","Guam",0.469789417017689,"Guam"
"20","Mariana Islands","Rota",0.242379078210884,"Rota"
"21","Florida","Keys-lower",0.2912064909487,"Keys-lower"
"22","Florida","Tortugas",0.288468463274845,"Tortugas"
"23","Florida","Keys-middle",0.116496129915299,"Keys-middle"
"24","Florida","Keys-upper",0.100151257297216,"Keys-upper"
"25","Florida","Southeast Florida",0.0419922468624307,"Southeast Florida"
"26","Puerto Rico","Puerto Rico-southwest",0.510681535520595,"Puerto Rico-southwest"
"27","Puerto Rico","Puerto Rico-east",0.101379663225412,"Puerto Rico-east"
"28","Puerto Rico","Puerto Rico-north",0.0850124464223522,"Puerto Rico-north"
"29","US Virgin Islands","St. John",0.34295884572827,"St. John"
"30","US Virgin Islands","St. Croix",0.294769485051983,"St. Croix"
"31","US Virgin Islands","St. J & St. T offshore",0.130142357923511,"St. J & St. T offshore"
"32","US Virgin Islands","St. Thomas",0.0785975429469266,"St. Thomas"
