"","covariate","column_n","GVIF","GVIF_final"
"1","human_pop50_log_z",890,1.31921425365803,1.31921425365803
"2","kd490_cv_z",890,1.18751546463983,1.18751546463983
"3","kd490_mean_z",890,1.45494169020209,1.45494169020209
"4","land_area50_log_z",890,1.41064630188655,1.41064630188655
"5","nAll_30yr_z",890,1.03183148265014,1.03183148265014
"6","npp_cv_z",890,1.11157984406608,1.11157984406608
"7","npp_mean_z",890,1.18104566199471,1.18104566199471
"8","sst_cv_z",890,1.41161676430694,1.41161676430694
"9","sst_mean_z",890,1.28468958410229,1.28468958410229
"10","wave_cv_z",890,1.25723487512156,1.25723487512156
"11","wave_mean_z",890,1.31843543640058,1.31843543640058
